"Service Id","Train Nos.","Velachery","Perungudi","Tharamani","Thiruvanmiyur","Indira Nagar","Kasturba Nagar","Kotturpuram","Greenways Road","Mandaveli","Thirumayilai","Light House","Tiruvellikeni","Chepauk","Chintadripet","Park Town","Chennai Fort","Chennai Beach"
"WDS","VLB2","5:00","5:03","5:05","5:08","5:09","5:11","5:13","5:15","5:17","5:19","5:22","5:24","5:26","5:28","5:30","5:32","5:40"
"WDS","VLB4","5:30","5:33","5:35","5:38","5:39","5:41","5:43","5:45","5:47","5:49","5:52","5:54","5:56","5:58","6:00","6:02","6:10"
"WDS","VLB6","5:50","5:53","5:55","5:58","5:59","6:01","6:03","6:05","6:07","6:09","6:12","6:14","6:16","6:18","6:20","6:22","6:30"
"WDS","VLB8","6:10","6:13","6:15","6:18","6:19","6:21","6:23","6:25","6:27","6:29","6:32","6:34","6:36","6:38","6:40","6:42","6:50"
"WDS","VLB10","6:30","6:33","6:35","6:38","6:39","6:41","6:43","6:45","6:47","6:49","6:52","6:54","6:56","6:58","7:00","7:02","7:10"
"WDS","VLB12","6:50","6:53","6:55","6:58","6:59","7:01","7:03","7:05","7:07","7:09","7:12","7:14","7:16","7:18","7:20","7:22","7:30"
"WDS","VLB14","7:00","7:03","7:05","7:08","7:09","7:11","7:13","7:15","7:17","7:19","7:22","7:24","7:26","7:28","7:30","7:32","7:40"
"WDS","VLB16","7:10","7:13","7:15","7:18","7:19","7:21","7:23","7:25","7:27","7:29","7:32","7:34","7:36","7:38","7:40","7:42","7:50"
"WDS","VLB18","7:20","7:23","7:25","7:28","7:29","7:31","7:33","7:35","7:37","7:39","7:42","7:44","7:46","7:48","7:50","7:52","8:00"
"WDS","VLB20","7:35","7:38","7:40","7:43","7:44","7:46","7:48","7:50","7:52","7:54","7:57","7:59","8:01","8:03","8:05","8:07","8:15"
"WDS","VLB22","7:50","7:53","7:55","7:58","7:59","8:01","8:03","8:05","8:07","8:09","8:12","8:14","8:16","8:18","8:20","8:22","8:30"
"WDS","VLB24","8:05","8:08","8:10","8:13","8:14","8:16","8:18","8:20","8:22","8:24","8:27","8:29","8:31","8:33","8:35","8:37","8:45"
"WDS","VLB26","8:20","8:23","8:25","8:28","8:29","8:31","8:33","8:35","8:37","8:39","8:42","8:44","8:46","8:48","8:50","8:52","9:00"
"WDS","VLB28","8:30","8:33","8:35","8:38","8:39","8:41","8:43","8:45","8:47","8:49","8:52","8:54","8:56","8:58","9:00","9:02","9:10"
"WDS","VLB30","8:40","8:43","8:45","8:48","8:49","8:51","8:53","8:55","8:57","8:59","9:02","9:04","9:06","9:08","9:10","9:12","9:20"
"WDS","VLB32","8:50","8:53","8:55","8:58","8:59","9:01","9:03","9:05","9:07","9:09","9:12","9:14","9:16","9:18","9:20","9:22","9:30"
"WDS","VLB34","9:00","9:03","9:05","9:08","9:09","9:11","9:13","9:15","9:17","9:19","9:22","9:24","9:26","9:28","9:30","9:32","9:40"
"WDS","VLB36","9:10","9:13","9:15","9:18","9:19","9:21","9:23","9:25","9:27","9:29","9:32","9:34","9:36","9:38","9:40","9:42","9:50"
"WDS","VLB38","9:20","9:23","9:25","9:28","9:29","9:31","9:33","9:35","9:37","9:39","9:42","9:44","9:46","9:48","9:50","9:52","10:00"
"WDS","VLB40","9:30","9:33","9:35","9:38","9:39","9:41","9:43","9:45","9:47","9:49","9:52","9:54","9:56","9:58","10:00","10:02","10:10"
"WDS","VLB42","9:40","9:43","9:45","9:48","9:49","9:51","9:53","9:55","9:57","9:59","10:02","10:04","10:06","10:08","10:10","10:12","10:20"
"WDS","VLB44","9:50","9:53","9:55","9:58","9:59","10:01","10:03","10:05","10:07","10:09","10:12","10:14","10:16","10:18","10:20","10:22","10:30"
"WDS","VLB46","10:00","10:03","10:05","10:08","10:09","10:11","10:13","10:15","10:17","10:19","10:22","10:24","10:26","10:28","10:30","10:32","10:40"
"WDS","VLB48","10:20","10:23","10:25","10:28","10:29","10:31","10:33","10:35","10:37","10:39","10:42","10:44","10:46","10:48","10:50","10:52","11:00"
"WDS","VLB50","10:40","10:43","10:45","10:48","10:49","10:51","10:53","10:55","10:57","10:59","11:02","11:04","11:06","11:08","11:10","11:12","11:20"
"WDS","VLB52","10:50","10:53","10:55","10:57","10:59","11:01","11:03","11:06","11:08","11:10","11:12","11:14","11:16","11:17","11:20","11:22","11:30"
"WDS","VLB54","11:00","11:03","11:05","11:07","11:09","11:11","11:13","11:16","11:18","11:20","11:22","11:24","11:26","11:27","11:30","11:32","11:40"
"WDS","VLB56","11:20","11:23","11:25","11:27","11:29","11:31","11:33","11:36","11:38","11:40","11:42","11:44","11:46","11:47","11:50","11:52","12:00"
"WDS","VLB58","11:40","11:43","11:45","11:47","11:49","11:51","11:53","11:56","11:58","12:00","12:02","12:04","12:06","12:07","12:10","12:12","12:20"
"WDS","VLB60","12:00","12:03","12:05","12:08","12:09","12:11","12:13","12:15","12:17","12:19","12:22","12:24","12:26","12:28","12:30","12:32","12:40"
"WDS","VLB62","12:20","12:23","12:25","12:28","12:29","12:31","12:33","12:35","12:37","12:39","12:42","12:44","12:46","12:48","12:50","12:52","13:00"
"WDS","VLB64","12:40","12:43","12:45","12:48","12:49","12:51","12:53","12:55","12:57","12:59","13:02","13:04","13:06","13:08","13:10","13:12","13:20"
"WDS","VLB66","13:00","13:03","13:05","13:08","13:09","13:11","13:13","13:15","13:17","13:19","13:22","13:24","13:26","13:28","13:30","13:32","13:40"
"WDS","VLB68","13:20","13:23","13:25","13:28","13:29","13:31","13:33","13:35","13:37","13:39","13:42","13:44","13:46","13:48","13:50","13:52","14:00"
"WDS","VLB70","13:50","13:53","13:55","13:58","13:59","14:01","14:03","14:05","14:07","14:09","14:12","14:14","14:16","14:18","14:20","14:22","14:30"
"WDS","VLB72","14:20","14:23","14:25","14:28","14:29","14:31","14:33","14:35","14:37","14:39","14:42","14:44","14:46","14:48","14:50","14:52","15:00"
"WDS","VLB74","14:50","14:53","14:55","14:58","14:59","15:01","15:03","15:05","15:07","15:09","15:12","15:14","15:16","15:18","15:20","15:22","15:30"
"WDS","VLB76","15:20","15:23","15:25","15:28","15:29","15:31","15:33","15:35","15:37","15:39","15:42","15:44","15:46","15:48","15:50","15:52","16:00"
"WDS","VLB78","15:40","15:43","15:45","15:48","15:49","15:51","15:53","15:55","15:57","15:59","16:02","16:04","16:06","16:08","16:10","16:12","16:20"
"WDS","VLB80","16:10","16:13","16:15","16:18","16:19","16:21","16:23","16:25","16:27","16:29","16:32","16:34","16:36","16:38","16:40","16:42","16:50"
"WDS","VLB82","16:25","16:28","16:30","16:33","16:34","16:36","16:38","16:40","16:42","16:44","16:47","16:49","16:51","16:53","16:55","16:57","17:05"
"WDS","VLB84","16:40","16:43","16:45","16:48","16:49","16:51","16:53","16:55","16:57","16:59","17:02","17:04","17:06","17:08","17:10","17:12","17:20"
"WDS","VLB86","16:50","16:53","16:55","16:58","16:59","17:01","17:03","17:05","17:07","17:09","17:12","17:14","17:16","17:18","17:20","17:22","17:30"
"WDS","VLB88","17:00","17:03","17:05","17:08","17:09","17:11","17:13","17:15","17:17","17:19","17:22","17:24","17:26","17:28","17:30","17:32","17:40"
"WDS","VLB90","17:10","17:13","17:15","17:18","17:19","17:21","17:23","17:25","17:27","17:29","17:32","17:34","17:36","17:38","17:40","17:42","17:50"
"WDS","VLB92","17:15","17:18","17:20","17:23","17:24","17:26","17:28","17:30","17:32","17:34","17:37","17:39","17:41","17:43","17:45","17:47","17:55"
"WDS","VLB94","17:25","17:28","17:30","17:33","17:34","17:36","17:38","17:40","17:42","17:44","17:47","17:49","17:51","17:53","17:55","17:57","18:05"
"WDS","VLB96","17:40","17:43","17:45","17:48","17:49","17:51","17:53","17:55","17:57","17:59","18:02","18:04","18:06","18:08","18:10","18:12","18:20"
"WDS","VLB98","17:50","17:53","17:55","17:58","17:59","18:01","18:03","18:05","18:07","18:09","18:12","18:14","18:16","18:18","18:20","18:22","18:30"
"WDS","VLB100","18:00","18:03","18:05","18:08","18:09","18:11","18:13","18:15","18:17","18:19","18:22","18:24","18:26","18:28","18:30","18:32","18:40"
"WDS","VLB102","18:10","18:13","18:15","18:18","18:19","18:21","18:23","18:25","18:27","18:29","18:32","18:34","18:36","18:38","18:40","18:42","18:50"
"WDS","VLB104","18:20","18:23","18:25","18:28","18:29","18:31","18:33","18:35","18:37","18:39","18:42","18:44","18:46","18:48","18:50","18:52","19:00"
"WDS","VLB106","18:30","18:33","18:35","18:38","18:39","18:41","18:43","18:45","18:47","18:49","18:52","18:54","18:56","18:58","19:00","19:02","19:10"
"WDS","VLB108","18:40","18:43","18:45","18:48","18:49","18:51","18:53","18:55","18:57","18:59","19:02","19:04","19:06","19:08","19:10","19:12","19:20"
"WDS","VLB110","18:50","18:53","18:55","18:58","18:59","19:01","19:03","19:05","19:07","19:09","19:12","19:14","19:16","19:18","19:20","19:22","19:30"
"WDS","VLB112","19:00","19:03","19:05","19:08","19:09","19:11","19:13","19:15","19:17","19:19","19:22","19:24","19:26","19:28","19:30","19:32","19:40"
"WDS","VLB114","19:10","19:13","19:15","19:18","19:19","19:21","19:23","19:25","19:27","19:29","19:32","19:34","19:36","19:38","19:40","19:42","19:50"
"WDS","VLB116","19:30","19:33","19:35","19:38","19:39","19:41","19:43","19:45","19:47","19:49","19:52","19:54","19:56","19:58","20:00","20:02","20:10"
"WDS","VLB118","19:50","19:53","19:55","19:58","19:59","20:01","20:03","20:05","20:07","20:09","20:12","20:14","20:16","20:18","20:20","20:22","20:30"
"WDS","VLB120","20:10","20:13","20:15","20:18","20:19","20:21","20:23","20:25","20:27","20:29","20:32","20:34","20:36","20:38","20:40","20:42","20:50"
"WDS","VLB122","20:30","20:33","20:35","20:38","20:39","20:41","20:43","20:45","20:47","20:49","20:52","20:53","20:56","20:58","21:00","21:02","21:10"
"WDS","VLB124","20:50","20:53","20:55","20:58","20:59","21:01","21:03","21:05","21:07","21:09","21:12","21:14","21:16","21:18","21:20","21:22","21:30"
"WDS","VLB126","21:10","21:13","21:15","21:18","21:19","21:21","21:23","21:25","21:27","21:29","21:32","21:34","21:36","21:38","21:40","21:42","21:50"
"WDS","VLB128","21:35","21:38","21:40","21:43","21:44","21:46","21:48","21:50","21:52","21:54","21:57","21:59","22:01","22:03","22:05","22:07","22:15"
"WDS","VLB130","22:00","22:03","22:05","22:08","22:09","22:11","22:13","22:15","22:17","22:19","22:22","22:24","22:26","22:28","22:30","22:32","22:40"
"WDS","VLB132","22:30","22:33","22:35","22:38","22:39","22:41","22:43","22:45","22:47","22:49","22:52","22:54","22:56","22:58","23:00","23:02","23:10"
"WDS","VLB134","23:00","23:03","23:05","23:08","23:09","23:11","23:13","23:15","23:17","23:19","23:22","23:24","23:26","23:28","23:30","23:32","23:40"
